character_id,country_name,country_code,Q45,Q46,Q57,Q184,Q218,Q254
1,CAN,840,3.00,2.00,2.00,7.67,2.00,1.00
10,CAN,840,3.00,1.67,2.00,7.00,2.00,1.00
100,CAN,840,3.00,2.33,4.00,5.00,1.67,1.33
101,CAN,840,3.00,1.67,2.00,9.67,2.00,2.00
102,CAN,840,1.67,1.33,2.00,7.00,2.00,1.00
103,CAN,840,2.33,2.00,2.00,7.00,2.00,1.00
104,CAN,840,3.00,1.67,2.00,8.00,2.00,1.00
105,CAN,840,2.00,2.00,2.00,7.00,2.00,1.33
106,CAN,840,3.00,2.00,2.00,8.33,2.00,1.00
107,CAN,840,2.00,1.33,2.00,5.67,2.00,1.00
108,CAN,840,2.00,1.33,2.00,5.33,2.00,1.00
109,CAN,840,3.00,2.00,2.00,8.00,2.00,1.67
11,CAN,840,2.67,1.00,2.00,8.00,2.00,1.00
110,CAN,840,1.67,2.00,2.00,5.00,2.00,1.00
12,CAN,840,2.00,1.67,2.00,7.00,2.00,1.00
13,CAN,840,2.00,2.00,2.00,8.00,2.00,1.00
14,CAN,840,3.00,2.00,2.00,8.00,2.00,2.00
15,CAN,840,1.67,2.00,2.00,5.67,2.00,1.00
16,CAN,840,2.67,2.00,2.00,7.67,2.00,1.00
17,CAN,840,3.00,1.00,2.00,8.33,2.00,1.00
18,CAN,840,3.00,2.00,2.00,9.33,2.00,2.00
19,CAN,840,3.00,2.00,2.00,7.33,2.00,1.00
2,CAN,840,3.00,2.00,2.00,4.67,2.00,2.00
20,CAN,840,2.00,2.00,2.00,5.00,2.00,1.00
21,CAN,840,3.00,1.67,2.00,9.00,2.00,1.33
22,CAN,840,1.00,1.67,2.00,5.00,2.00,1.00
23,CAN,840,3.00,1.00,2.00,8.00,2.00,2.00
24,CAN,840,2.67,2.00,3.00,5.00,2.00,1.00
25,CAN,840,3.00,1.67,2.00,7.00,2.00,1.00
26,CAN,840,1.00,2.00,2.00,5.00,2.00,1.00
27,CAN,840,1.00,2.00,2.00,8.00,2.00,1.00
28,CAN,840,1.67,1.00,2.00,7.00,2.00,1.00
29,CAN,840,1.00,2.00,2.00,5.00,2.67,1.00
3,CAN,840,2.00,1.00,2.00,5.00,2.00,1.00
30,CAN,840,1.00,1.67,2.00,6.67,2.00,1.00
31,CAN,840,2.33,2.00,2.00,7.00,2.00,1.00
32,CAN,840,1.33,2.00,2.00,7.00,2.00,1.00
33,CAN,840,2.33,1.33,2.00,7.33,2.00,1.00
34,CAN,840,2.00,1.67,2.00,7.00,2.00,1.33
35,CAN,840,3.00,1.67,2.00,8.00,2.00,1.00
36,CAN,840,1.00,2.00,3.00,4.33,2.00,1.00
37,CAN,840,3.00,1.00,2.00,9.00,2.00,1.67
38,CAN,840,2.33,1.67,2.00,8.00,2.00,1.00
39,CAN,840,2.67,2.00,2.00,8.67,2.00,2.00
4,CAN,840,2.00,2.00,2.00,7.00,2.00,1.00
40,CAN,840,3.00,2.00,2.00,7.00,1.67,1.67
41,CAN,840,1.00,2.00,2.00,5.33,2.00,1.00
42,CAN,840,2.67,1.33,2.00,8.00,2.00,1.00
43,CAN,840,2.33,1.67,2.00,8.00,2.00,1.00
44,CAN,840,1.67,1.67,2.00,6.33,2.00,1.00
45,CAN,840,2.00,1.00,2.00,7.33,2.00,1.33
46,CAN,840,2.67,1.33,2.00,8.00,2.00,1.33
47,CAN,840,2.00,2.00,2.00,8.00,2.00,1.00
48,CAN,840,2.67,2.00,2.00,7.00,2.00,1.00
49,CAN,840,2.00,2.00,2.00,7.00,2.00,1.00
5,CAN,840,2.00,2.00,2.00,5.67,2.00,1.00
50,CAN,840,1.33,3.00,2.00,8.00,2.00,2.00
51,CAN,840,1.67,1.00,2.00,8.00,2.00,1.00
52,CAN,840,3.00,2.00,2.00,7.67,2.00,1.00
53,CAN,840,3.00,2.00,2.00,7.00,2.00,1.33
54,CAN,840,2.00,2.00,2.00,7.00,2.00,2.00
55,CAN,840,1.67,1.00,2.00,5.00,2.00,1.00
56,CAN,840,3.00,2.00,2.33,5.33,2.00,1.00
57,CAN,840,2.00,1.33,2.00,7.00,2.00,1.00
58,CAN,840,1.00,2.00,2.00,5.00,2.00,1.00
59,CAN,840,3.00,2.00,2.00,10.00,2.00,2.00
6,CAN,840,2.33,1.00,2.00,5.00,2.00,1.00
60,CAN,840,3.00,1.33,2.00,8.00,2.00,1.00
61,CAN,840,1.00,2.00,4.00,4.33,3.00,1.33
62,CAN,840,1.00,1.33,2.00,5.00,2.00,1.00
63,CAN,840,2.00,1.00,2.00,7.00,2.00,1.00
64,CAN,840,3.00,2.00,2.00,10.00,2.00,1.33
65,CAN,840,1.33,2.00,2.00,5.33,2.00,1.00
66,CAN,840,3.00,1.33,2.00,7.33,2.00,1.33
67,CAN,840,3.00,2.00,2.00,8.00,2.00,1.33
68,CAN,840,3.00,1.67,2.00,8.00,1.33,1.00
69,CAN,840,3.00,1.67,2.00,7.00,2.00,1.00
7,CAN,840,2.67,1.67,2.00,7.00,2.00,1.00
70,CAN,840,2.67,2.00,2.00,7.00,2.00,1.67
71,CAN,840,2.00,2.00,2.00,7.00,2.00,1.67
72,CAN,840,1.00,1.00,2.00,5.67,2.00,1.00
73,CAN,840,3.00,2.00,2.00,9.00,1.00,1.00
74,CAN,840,3.00,1.67,2.00,7.00,2.00,1.00
75,CAN,840,2.33,2.00,2.00,8.33,2.00,2.00
76,CAN,840,2.00,2.00,2.00,7.67,2.00,1.00
77,CAN,840,2.00,2.00,2.00,7.00,2.00,1.00
78,CAN,840,2.00,1.00,2.00,7.00,2.00,1.00
79,CAN,840,1.00,2.00,2.00,5.00,2.00,1.00
8,CAN,840,1.00,1.67,2.00,2.00,2.00,1.00
80,CAN,840,3.00,2.00,2.00,7.00,2.00,1.00
81,CAN,840,2.00,2.00,2.00,8.00,2.00,1.00
82,CAN,840,1.67,2.00,2.00,5.67,2.00,1.00
83,CAN,840,3.00,2.00,2.00,7.00,2.00,1.67
84,CAN,840,2.00,1.00,2.00,5.67,2.00,1.00
85,CAN,840,1.00,2.67,3.00,2.00,2.00,1.00
86,CAN,840,1.00,2.00,3.00,5.00,2.00,1.00
87,CAN,840,3.00,2.00,2.00,8.00,2.00,1.00
88,CAN,840,2.00,1.00,2.00,6.67,2.00,1.00
89,CAN,840,1.00,2.00,2.00,5.67,2.00,1.33
9,CAN,840,3.00,1.33,2.00,7.00,2.00,1.00
90,CAN,840,1.00,1.00,2.00,4.67,2.00,1.00
91,CAN,840,1.00,2.00,2.00,5.00,2.00,1.00
92,CAN,840,1.33,2.00,2.00,6.67,2.00,1.00
93,CAN,840,2.00,1.33,2.00,6.67,2.00,1.00
94,CAN,840,3.00,3.00,2.00,9.00,1.00,2.00
95,CAN,840,3.00,2.00,2.00,10.00,1.67,2.00
96,CAN,840,3.00,1.67,2.00,8.00,2.00,1.00
97,CAN,840,1.00,1.00,2.00,5.00,2.00,1.00
98,CAN,840,3.00,1.00,2.00,8.00,2.00,1.00
99,CAN,840,1.33,2.00,2.00,7.00,2.00,1.00
